경로	활동	act_type	click_type	key	value
7-3. 상품 상세 페이지 - 상품문의 탭	상품 문의 작성하기 > 버튼 클릭	click	상품 문의 버튼	page_id, tab_name, prd_code, click_text	{{page_id}}, {{탭 이름}}, {{상품코드}}, {{버튼 이름}}
8. 장바구니 페이지	장바구니 페이지 조회	pageview		page_id, prd_code	{{page_id}}, {{상품코드}}
8. 장바구니 페이지	구매하기 버튼 클릭 (한 상품 구매)	click	구매 버튼	page_id, prd_code, prd_brand, prd_name, prd_price_final, delivery_price, click_text	{{page_id}}, {{상품 코드}}, {{브랜드}}, {{상품명}}, {{상품금액}}, {{배송비}}, {{버튼 이름}}
8. 장바구니 페이지	00000원 구매하기 버튼 클릭 (선택한 상품 리스트 구매)	click	구매 버튼	page_id, prd_code, prd_brand, prd_name, prd_price_final, delivery_price, total_price_origin, total_price_disc, total_delivery_price, total_price_final, click_text	{{page_id}}, {{상품 코드}}, {{브랜드}}, {{상품명}}, {{상품금액}}, {{배송비}}, {{선택상품금액}}, {{즉시할인금액}}, {{총 배송비}}, {{총 결제예정금액}}, {{버튼 이름}}
8. 장바구니 페이지	쿠폰받기 버튼 클릭	click	쿠폰 버튼	page_id, store_id, store_name, click_text	{{page_id}}, {{스토어id}}, {{스토어명}}, {{버튼 이름}}
8. 장바구니 페이지	상품 클릭 (있는 정보만 수집)	click	상품	page_id, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
8. 장바구니 페이지	찜하기 클릭 - 상품 찜하기 (있는 정보만 수집)	click	상품 찜하기	page_id, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
9. 주문결제 페이지	주문결제 페이지 조회	pageview		page_id, prd_code, prd_brand, prd_name, prd_price_final, delivery_price, total_price_origin, total_price_disc, use_rrpay_point, total_delivery_price, total_price_final, rrpay_point	{{page_id}}, {{상품 코드}}, {{브랜드}}, {{상품명}}, {{상품금액}}, {{배송비}}, {{총 상품 금액}}, {{총 할인 금액}}, {{라운드 페이 포인트 사용}}, {{총 배송비}}, {{총 결제 금액}}, {{보유 라운드 페이 포인트}}
9. 주문결제 페이지	00000원 결제하기 버튼 클릭	click	결제 버튼	page_id, prd_code, prd_brand, prd_name, prd_price_final, delivery_price, total_price_origin, total_price_disc, use_rrpay_point, total_delivery_price, total_price_final, rrpay_point, pay_method, click_text	{{page_id}}, {{상품 코드}}, {{브랜드}}, {{상품명}}, {{상품금액}}, {{배송비}}, {{총 상품 금액}}, {{총 할인 금액}}, {{라운드 페이 포인트 사용}}, {{총 배송비}}, {{총 결제 금액}}, {{보유 라운드 페이 포인트}}, {{결제수단명}}, {{버튼 이름}}
10. 주문 완료 & 결제 실패	주문 완료 페이지 조회	pageview		page_id, order_no, total_price_final, reward_price	{{page_id}}, {{주문 번호}}, {{총 결제 금액}}, {{적립예정 혜택}}
10. 주문 완료 & 결제 실패	결제 실패 페이지 조회	pageview		page_id, fail_reason	{{page_id}}, {{결제 실패 사유}}
11-1. 쇼핑 검색 - 검색 메인(검색 전)	검색 메인(검색 전) 페이지 조회	pageview		page_id, srch_kwd	{{page_id}}, {{검색어}}
11-1. 쇼핑 검색 - 검색 메인(검색 전)	검색 아이콘 클릭	click	검색 아이콘	page_id, srch_kwd_type, srch_kwd	{{page_id}}, {{검색어 타입}}, {{검색어}}
11-1. 쇼핑 검색 - 검색 메인(검색 전)	최근 검색어 클릭	click	최근 검색어	page_id, area_name, recent_kwd	{{page_id}}, {{영역TEXT}}, {{검색어}}
11-1. 쇼핑 검색 - 검색 메인(검색 전)	추천 검색어 클릭	click	추천 검색어	page_id, area_name, rcmd_kwd, is_ad	{{page_id}}, {{영역TEXT}}, {{검색어}}, {{광고 여부}}
11-1. 쇼핑 검색 - 검색 메인(검색 전)	퀵버튼 클릭	click	퀵버튼	page_id, area_name, click_text	{{page_id}}, {{영역TEXT}}, {{퀵버튼 이름}}
11-1. 쇼핑 검색 - 검색 메인(검색 전)	상품 클릭 (있는 정보만 수집)	click	상품	page_id, area_name, prd_code, prd_order, prd_brand, prd_name, prd_price_origin, prd_price_final, prd_disc_rate, prd_review_score, prd_review_cnt, prd_is_ad	{{page_id}}, {{영역 TEXT}}, {{상품 코드}}, {{상품 순서}}, {{브랜드}}, {{상품명}}, {{가격}}, {{할인 가격}}, {{할인율}}, {{별 점}}, {{리뷰 수}}, {{광고 상품 여부}}
